"OrderNumber","SKU","PCS","DATE","x","y","aisle","level","Coord"
"1000","SKU-00001","2","2026-02-02","0.0","7.0","A1","1","[0.0, 7.0]"
"1001","SKU-00002","3","2026-02-03","1.0","7.0","A2","2","[1.0, 7.0]"
"1001","SKU-00003","4","2026-02-04","2.0","7.0","A3","3","[2.0, 7.0]"
"1002","SKU-00004","1","2026-02-05","3.0","7.0","A4","4","[3.0, 7.0]"
"1002","SKU-00005","2","2026-02-06","4.0","7.0","A5","1","[4.0, 7.0]"
"1003","SKU-00006","3","2026-02-07","5.0","7.0","A6","2","[5.0, 7.0]"
"1003","SKU-00007","4","2026-02-08","6.0","7.0","A7","3","[6.0, 7.0]"
"1004","SKU-00008","1","2026-02-09","7.0","7.0","A8","4","[7.0, 7.0]"
"1004","SKU-00009","2","2026-02-10","8.0","7.0","A9","1","[8.0, 7.0]"
"1005","SKU-00010","3","2026-02-11","9.0","7.0","A10","2","[9.0, 7.0]"
"1005","SKU-00011","4","2026-02-12","10.0","7.0","A11","3","[10.0, 7.0]"
"1006","SKU-00012","1","2026-02-13","11.0","7.0","A12","4","[11.0, 7.0]"
"1006","SKU-00013","2","2026-02-14","12.0","7.0","A1","1","[12.0, 7.0]"
"1007","SKU-00014","3","2026-02-15","13.0","7.0","A2","2","[13.0, 7.0]"
"1007","SKU-00015","4","2026-02-16","14.0","7.0","A3","3","[14.0, 7.0]"
"1008","SKU-00016","1","2026-02-17","15.0","7.0","A4","4","[15.0, 7.0]"
"1008","SKU-00017","2","2026-02-18","16.0","7.0","A5","1","[16.0, 7.0]"
"1009","SKU-00018","3","2026-02-19","17.0","7.0","A6","2","[17.0, 7.0]"
"1009","SKU-00019","4","2026-02-20","18.0","7.0","A7","3","[18.0, 7.0]"
"1010","SKU-00020","1","2026-02-21","19.0","7.0","A8","4","[19.0, 7.0]"
"1010","SKU-00021","2","2026-02-22","20.0","7.0","A9","1","[20.0, 7.0]"
"1011","SKU-00022","3","2026-02-23","21.0","7.0","A10","2","[21.0, 7.0]"
"1011","SKU-00023","4","2026-02-24","22.0","7.0","A11","3","[22.0, 7.0]"
"1012","SKU-00024","1","2026-02-25","23.0","7.0","A12","4","[23.0, 7.0]"
"1012","SKU-00025","2","2026-02-26","24.0","7.0","A1","1","[24.0, 7.0]"
"1013","SKU-00026","3","2026-02-27","0.0","12.0","A2","2","[0.0, 12.0]"
"1013","SKU-00027","4","2026-02-01","1.0","12.0","A3","3","[1.0, 12.0]"
"1014","SKU-00028","1","2026-02-02","2.0","12.0","A4","4","[2.0, 12.0]"
"1014","SKU-00029","2","2026-02-03","3.0","12.0","A5","1","[3.0, 12.0]"
"1015","SKU-00030","3","2026-02-04","4.0","12.0","A6","2","[4.0, 12.0]"
"1015","SKU-00031","4","2026-02-05","5.0","12.0","A7","3","[5.0, 12.0]"
"1016","SKU-00032","1","2026-02-06","6.0","12.0","A8","4","[6.0, 12.0]"
"1016","SKU-00033","2","2026-02-07","7.0","12.0","A9","1","[7.0, 12.0]"
"1017","SKU-00034","3","2026-02-08","8.0","12.0","A10","2","[8.0, 12.0]"
"1017","SKU-00035","4","2026-02-09","9.0","12.0","A11","3","[9.0, 12.0]"
"1018","SKU-00036","1","2026-02-10","10.0","12.0","A12","4","[10.0, 12.0]"
"1018","SKU-00037","2","2026-02-11","11.0","12.0","A1","1","[11.0, 12.0]"
"1019","SKU-00038","3","2026-02-12","12.0","12.0","A2","2","[12.0, 12.0]"
"1019","SKU-00039","4","2026-02-13","13.0","12.0","A3","3","[13.0, 12.0]"
"1020","SKU-00040","1","2026-02-14","14.0","12.0","A4","4","[14.0, 12.0]"
"1020","SKU-00041","2","2026-02-15","15.0","12.0","A5","1","[15.0, 12.0]"
"1021","SKU-00042","3","2026-02-16","16.0","12.0","A6","2","[16.0, 12.0]"
"1021","SKU-00043","4","2026-02-17","17.0","12.0","A7","3","[17.0, 12.0]"
"1022","SKU-00044","1","2026-02-18","18.0","12.0","A8","4","[18.0, 12.0]"
"1022","SKU-00045","2","2026-02-19","19.0","12.0","A9","1","[19.0, 12.0]"
"1023","SKU-00046","3","2026-02-20","20.0","12.0","A10","2","[20.0, 12.0]"
"1023","SKU-00047","4","2026-02-21","21.0","12.0","A11","3","[21.0, 12.0]"
"1024","SKU-00048","1","2026-02-22","22.0","12.0","A12","4","[22.0, 12.0]"
"1024","SKU-00049","2","2026-02-23","23.0","12.0","A1","1","[23.0, 12.0]"
"1025","SKU-00050","3","2026-02-24","24.0","12.0","A2","2","[24.0, 12.0]"
"1025","SKU-00051","4","2026-02-25","0.0","17.0","A3","3","[0.0, 17.0]"
"1026","SKU-00052","1","2026-02-26","1.0","17.0","A4","4","[1.0, 17.0]"
"1026","SKU-00053","2","2026-02-27","2.0","17.0","A5","1","[2.0, 17.0]"
"1027","SKU-00054","3","2026-02-01","3.0","17.0","A6","2","[3.0, 17.0]"
"1027","SKU-00055","4","2026-02-02","4.0","17.0","A7","3","[4.0, 17.0]"
"1028","SKU-00056","1","2026-02-03","5.0","17.0","A8","4","[5.0, 17.0]"
"1028","SKU-00057","2","2026-02-04","6.0","17.0","A9","1","[6.0, 17.0]"
"1029","SKU-00058","3","2026-02-05","7.0","17.0","A10","2","[7.0, 17.0]"
"1029","SKU-00059","4","2026-02-06","8.0","17.0","A11","3","[8.0, 17.0]"
"1030","SKU-00060","1","2026-02-07","9.0","17.0","A12","4","[9.0, 17.0]"
"1030","SKU-00061","2","2026-02-08","10.0","17.0","A1","1","[10.0, 17.0]"
"1031","SKU-00062","3","2026-02-09","11.0","17.0","A2","2","[11.0, 17.0]"
"1031","SKU-00063","4","2026-02-10","12.0","17.0","A3","3","[12.0, 17.0]"
"1032","SKU-00064","1","2026-02-11","13.0","17.0","A4","4","[13.0, 17.0]"
"1032","SKU-00065","2","2026-02-12","14.0","17.0","A5","1","[14.0, 17.0]"
